"state","decision","correct","count","winning_prob"
"11","1,1",5761,5761,1
"111","1,1",0,1887,0
"2","1,1",10900,10900,1
"21","1,1",0,2944,0
"211","1,1",846,846,1
"22","1,1",1721,9183,0.19
"221","1,1",46,165,0.28
"222","1,1",8,21,0.38
"3","1,1",0,2079,0
"31","1,1",538,1136,0.47
"311","1,1",107,268,0.4
"32","1,1",11142,13176,0.85
"321","1,1",330,1158,0.28
"322","1,1",28,91,0.31
"33","1,1",2377,7896,0.3
"331","1,1",350,584,0.6
"332","1,1",40,83,0.48
"333","1,1",19,38,0.5
"4","1,1",123,336,0.37
"41","1,1",101,233,0.43
"411","1,1",21,52,0.4
"42","1,1",101,225,0.45
"421","1,1",561,758,0.74
"422","1,1",13,27,0.48
"43","1,1",3778,4754,0.79
"431","1,1",66,139,0.47
"432","1,1",57,140,0.41
"433","1,1",30,73,0.41
"44","1,1",94,483,0.19
"441","1,1",16,47,0.34
"442","1,1",0,8,0
"443","1,1",13,31,0.42
"5","1,1",110,275,0.4
"51","1,1",102,253,0.4
"511","1,1",33,73,0.45
"52","1,1",107,195,0.55
"521","1,1",82,173,0.47
"522","1,1",17,41,0.41
"53","1,1",250,489,0.51
"531","1,1",184,376,0.49
"532","1,1",140,263,0.53
"533","1,1",82,180,0.46
"54","1,1",849,1150,0.74
"541","1,1",757,2614,0.29
"542","1,1",18,34,0.53
"543","1,1",82,176,0.47
"55","1,1",26,63,0.41
"551","1,1",16,37,0.43
"552","1,1",89,188,0.47
"553","1,1",59,122,0.48
"6","1,1",27,60,0.45
"61","1,1",15,38,0.39
"611","1,1",3,13,0.23
"62","1,1",9,21,0.43
"621","1,1",14,29,0.48
"622","1,1",5,9,0.56
"63","1,1",61,130,0.47
"631","1,1",42,86,0.49
"632","1,1",14,36,0.39
"633","1,1",27,46,0.59
"64","1,1",15,37,0.41
"641","1,1",599,775,0.77
"642","1,1",43,219,0.2
"643","1,1",14,35,0.4
"65","1,1",121,194,0.62
"651","1,1",19,43,0.44
"652","1,1",2,8,0.25
"653","1,1",66,134,0.49
"7","1,1",48,103,0.47
"71","1,1",27,97,0.28
"711","1,1",10,32,0.31
"72","1,1",40,86,0.47
"721","1,1",35,69,0.51
"722","1,1",14,21,0.67
"73","1,1",592,1182,0.5
